Hour,Occupancy(%),Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,6,1,0,0,0,0
6,19,1,0,0,0,0
7,66,1,0,0,0,0
8,87,1,0,0,0,0
9,91,1,0,0,0,0
10,96,1,0,0,0,0
11,96,1,0,0,0,0
12,99,1,0,0,0,0
13,99,1,0,0,0,0
14,100,1,0,0,0,0
15,96,1,0,0,0,0
16,91,1,0,0,0,0
17,66,1,0,0,0,0
18,57,1,0,0,0,0
19,13,1,0,0,0,0
20,11,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,23,1,0,0,0,0
6,32,1,0,0,0,0
7,83,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,74,1,0,0,0,0
18,57,1,0,0,0,0
19,13,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,11,1,0,0,0,0
6,36,1,0,0,0,0
7,87,1,0,0,0,0
8,94,1,0,0,0,0
9,95,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,74,1,0,0,0,0
18,57,1,0,0,0,0
19,13,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,0,1,0,0,0
1,6,0,1,0,0,0
2,6,0,1,0,0,0
3,6,0,1,0,0,0
4,6,0,1,0,0,0
5,6,0,1,0,0,0
6,15,0,1,0,0,0
7,71,0,1,0,0,0
8,79,0,1,0,0,0
9,81,0,1,0,0,0
10,82,0,1,0,0,0
11,81,0,1,0,0,0
12,87,0,1,0,0,0
13,87,0,1,0,0,0
14,87,0,1,0,0,0
15,87,0,1,0,0,0
16,85,0,1,0,0,0
17,57,0,1,0,0,0
18,43,0,1,0,0,0
19,13,0,1,0,0,0
20,5,0,1,0,0,0
21,5,0,1,0,0,0
22,5,0,1,0,0,0
23,5,0,1,0,0,0
0,5,0,1,0,0,0
1,5,0,1,0,0,0
2,5,0,1,0,0,0
3,5,0,1,0,0,0
4,5,0,1,0,0,0
5,5,0,1,0,0,0
6,11,0,1,0,0,0
7,23,0,1,0,0,0
8,62,0,1,0,0,0
9,74,0,1,0,0,0
10,75,0,1,0,0,0
11,77,0,1,0,0,0
12,77,0,1,0,0,0
13,78,0,1,0,0,0
14,78,0,1,0,0,0
15,78,0,1,0,0,0
16,57,0,1,0,0,0
17,56,0,1,0,0,0
18,23,0,1,0,0,0
19,11,0,1,0,0,0
20,9,0,1,0,0,0
21,6,0,1,0,0,0
22,6,0,1,0,0,0
23,6,0,1,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,15,1,0,0,0,0
7,19,1,0,0,0,0
8,86,1,0,0,0,0
9,91,1,0,0,0,0
10,96,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,99,1,0,0,0,0
16,98,1,0,0,0,0
17,79,1,0,0,0,0
18,53,1,0,0,0,0
19,36,1,0,0,0,0
20,19,1,0,0,0,0
21,10,1,0,0,0,0
22,10,1,0,0,0,0
23,10,1,0,0,0,0
0,10,1,0,0,0,0
1,10,1,0,0,0,0
2,10,1,0,0,0,0
3,10,1,0,0,0,0
4,10,1,0,0,0,0
5,10,1,0,0,0,0
6,18,1,0,0,0,0
7,58,1,0,0,0,0
8,90,1,0,0,0,0
9,91,1,0,0,0,0
10,91,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,91,1,0,0,0,0
17,57,1,0,0,0,0
18,51,1,0,0,0,0
19,54,1,0,0,0,0
20,53,1,0,0,0,0
21,45,1,0,0,0,0
22,12,1,0,0,0,0
23,12,1,0,0,0,0
0,12,1,0,0,0,0
1,12,1,0,0,0,0
2,12,1,0,0,0,0
3,12,1,0,0,0,0
4,12,1,0,0,0,0
5,12,1,0,0,0,0
6,17,1,0,0,0,0
7,28,1,0,0,0,0
8,94,1,0,0,0,0
9,94,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,93,1,0,0,0,0
16,83,1,0,0,0,0
17,53,1,0,0,0,0
18,40,1,0,0,0,0
19,23,1,0,0,0,0
20,12,1,0,0,0,0
21,9,1,0,0,0,0
22,9,1,0,0,0,0
23,9,1,0,0,0,0
0,9,1,0,0,0,0
1,9,1,0,0,0,0
2,9,1,0,0,0,0
3,9,1,0,0,0,0
4,9,1,0,0,0,0
5,9,1,0,0,0,0
6,17,1,0,0,0,0
7,28,1,0,0,0,0
8,94,1,0,0,0,0
9,94,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,93,1,0,0,0,0
15,83,1,0,0,0,0
16,53,1,0,0,0,0
17,40,1,0,0,0,0
18,23,1,0,0,0,0
19,12,1,0,0,0,0
20,9,1,0,0,0,0
21,9,1,0,0,0,0
22,9,1,0,0,0,0
23,9,1,0,0,0,0
0,9,1,0,0,0,0
1,9,1,0,0,0,0
2,9,1,0,0,0,0
3,9,1,0,0,0,0
4,9,1,0,0,0,0
5,9,1,0,0,0,0
6,11,1,0,0,0,0
7,17,1,0,0,0,0
8,74,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,97,1,0,0,0,0
12,97,1,0,0,0,0
13,98,1,0,0,0,0
14,99,1,0,0,0,0
15,97,1,0,0,0,0
16,97,1,0,0,0,0
17,91,1,0,0,0,0
18,54,1,0,0,0,0
19,40,1,0,0,0,0
20,9,1,0,0,0,0
21,9,1,0,0,0,0
22,9,1,0,0,0,0
23,9,1,0,0,0,0
0,9,0,1,0,0,0
1,9,0,1,0,0,0
2,9,0,1,0,0,0
3,9,0,1,0,0,0
4,9,0,1,0,0,0
5,9,0,1,0,0,0
6,21,0,1,0,0,0
7,66,0,1,0,0,0
8,88,0,1,0,0,0
9,96,0,1,0,0,0
10,97,0,1,0,0,0
11,97,0,1,0,0,0
12,97,0,1,0,0,0
13,98,0,1,0,0,0
14,98,0,1,0,0,0
15,95,0,1,0,0,0
16,83,0,1,0,0,0
17,62,0,1,0,0,0
18,28,0,1,0,0,0
19,19,0,1,0,0,0
20,4,0,1,0,0,0
21,4,0,1,0,0,0
22,4,0,1,0,0,0
23,4,0,1,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,15,0,1,0,0,0
7,19,0,1,0,0,0
8,32,0,1,0,0,0
9,32,0,1,0,0,0
10,32,0,1,0,0,0
11,32,0,1,0,0,0
12,32,0,1,0,0,0
13,32,0,1,0,0,0
14,32,0,1,0,0,0
15,32,0,1,0,0,0
16,23,0,1,0,0,0
17,19,0,1,0,0,0
18,2,0,1,0,0,0
19,1,0,1,0,0,0
20,1,0,1,0,0,0
21,1,0,1,0,0,0
22,1,0,1,0,0,0
23,1,0,1,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
2,1,1,0,0,0,0
3,1,1,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,13,1,0,0,0,0
7,17,1,0,0,0,0
8,81,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,98,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,98,1,0,0,0,0
17,87,1,0,0,0,0
18,53,1,0,0,0,0
19,16,1,0,0,0,0
20,11,1,0,0,0,0
21,8,1,0,0,0,0
22,8,1,0,0,0,0
23,8,1,0,0,0,0
0,8,1,0,0,0,0
1,8,1,0,0,0,0
2,8,1,0,0,0,0
3,8,1,0,0,0,0
4,8,1,0,0,0,0
5,8,1,0,0,0,0
6,15,1,0,0,0,0
7,75,1,0,0,0,0
8,87,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,98,1,0,0,0,0
15,97,1,0,0,0,0
16,96,1,0,0,0,0
17,45,1,0,0,0,0
18,15,1,0,0,0,0
19,11,1,0,0,0,0
20,11,1,0,0,0,0
21,11,1,0,0,0,0
22,11,1,0,0,0,0
23,11,1,0,0,0,0
0,11,1,0,0,0,0
1,11,1,0,0,0,0
2,11,1,0,0,0,0
3,11,1,0,0,0,0
4,11,1,0,0,0,0
5,11,1,0,0,0,0
6,32,1,0,0,0,0
7,66,1,0,0,0,0
8,87,1,0,0,0,0
9,94,1,0,0,0,0
10,96,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,96,1,0,0,0,0
16,87,1,0,0,0,0
17,66,1,0,0,0,0
18,13,1,0,0,0,0
19,6,1,0,0,0,0
20,5,1,0,0,0,0
21,5,1,0,0,0,0
22,5,1,0,0,0,0
23,5,1,0,0,0,0
0,5,1,0,0,0,0
1,5,1,0,0,0,0
2,5,1,0,0,0,0
3,5,1,0,0,0,0
4,5,1,0,0,0,0
5,5,1,0,0,0,0
6,5,1,0,0,0,0
7,19,1,0,0,0,0
8,49,1,0,0,0,0
9,87,1,0,0,0,0
10,92,1,0,0,0,0
11,98,1,0,0,0,0
12,99,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,98,1,0,0,0,0
16,94,1,0,0,0,0
17,66,1,0,0,0,0
18,52,1,0,0,0,0
19,12,1,0,0,0,0
20,7,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,7,1,0,0,0,0
6,28,1,0,0,0,0
7,49,1,0,0,0,0
8,86,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,95,1,0,0,0,0
17,66,1,0,0,0,0
18,11,1,0,0,0,0
19,10,1,0,0,0,0
20,4,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,16,0,1,0,0,0
7,28,0,1,0,0,0
8,53,0,1,0,0,0
9,53,0,1,0,0,0
10,66,0,1,0,0,0
11,66,0,1,0,0,0
12,66,0,1,0,0,0
13,66,0,1,0,0,0
14,64,0,1,0,0,0
15,62,0,1,0,0,0
16,61,0,1,0,0,0
17,23,0,1,0,0,0
18,11,0,1,0,0,0
19,4,0,1,0,0,0
20,4,0,1,0,0,0
21,4,0,1,0,0,0
22,4,0,1,0,0,0
23,4,0,1,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,7,0,1,0,0,0
7,19,0,1,0,0,0
8,23,0,1,0,0,0
9,28,0,1,0,0,0
10,28,0,1,0,0,0
11,28,0,1,0,0,0
12,28,0,1,0,0,0
13,28,0,1,0,0,0
14,28,0,1,0,0,0
15,28,0,1,0,0,0
16,19,0,1,0,0,0
17,11,0,1,0,0,0
18,2,0,1,0,0,0
19,2,0,1,0,0,0
20,2,0,1,0,0,0
21,2,0,1,0,0,0
22,2,0,1,0,0,0
23,2,0,1,0,0,0
0,2,1,0,0,0,0
1,2,1,0,0,0,0
2,2,1,0,0,0,0
3,2,1,0,0,0,0
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,23,1,0,0,0,0
7,32,1,0,0,0,0
8,83,1,0,0,0,0
9,91,1,0,0,0,0
10,97,1,0,0,0,0
11,99,1,0,0,0,0
12,99,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,97,1,0,0,0,0
17,62,1,0,0,0,0
18,19,1,0,0,0,0
19,13,1,0,0,0,0
20,4,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,1,0,0,0,0
1,4,1,0,0,0,0
2,4,1,0,0,0,0
3,4,1,0,0,0,0
4,4,1,0,0,0,0
5,4,1,0,0,0,0
6,4,1,0,0,0,0
7,19,1,0,0,0,0
8,23,1,0,0,0,0
9,83,1,0,0,0,0
10,95,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,66,1,0,0,0,0
18,11,1,0,0,0,0
19,7,1,0,0,0,0
20,4,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,1,0,0,0,0
1,4,1,0,0,0,0
2,4,1,0,0,0,0
3,4,1,0,0,0,0
4,4,1,0,0,0,0
5,4,1,0,0,0,0
6,32,1,0,0,0,0
7,45,1,0,0,0,0
8,92,1,0,0,0,0
9,100,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,98,1,0,0,0,0
16,91,1,0,0,0,0
17,64,1,0,0,0,0
18,8,1,0,0,0,0
19,2,1,0,0,0,0
20,2,1,0,0,0,0
21,2,1,0,0,0,0
22,2,1,0,0,0,0
23,2,1,0,0,0,0
0,2,1,0,0,0,0
1,2,1,0,0,0,0
2,2,1,0,0,0,0
3,2,1,0,0,0,0
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,28,1,0,0,0,0
7,36,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,97,1,0,0,0,0
16,87,1,0,0,0,0
17,70,1,0,0,0,0
18,49,1,0,0,0,0
19,19,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,15,1,0,0,0,0
7,19,1,0,0,0,0
8,87,1,0,0,0,0
9,94,1,0,0,0,0
10,96,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,99,1,0,0,0,0
14,98,1,0,0,0,0
15,97,1,0,0,0,0
16,83,1,0,0,0,0
17,45,1,0,0,0,0
18,11,1,0,0,0,0
19,6,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,0,1,0,0,0
1,6,0,1,0,0,0
2,6,0,1,0,0,0
3,6,0,1,0,0,0
4,6,0,1,0,0,0
5,6,0,1,0,0,0
6,21,0,1,0,0,0
7,66,0,1,0,0,0
8,88,0,1,0,0,0
9,96,0,1,0,0,0
10,97,0,1,0,0,0
11,97,0,1,0,0,0
12,97,0,1,0,0,0
13,98,0,1,0,0,0
14,98,0,1,0,0,0
15,95,0,1,0,0,0
16,83,0,1,0,0,0
17,62,0,1,0,0,0
18,28,0,1,0,0,0
19,19,0,1,0,0,0
20,4,0,1,0,0,0
21,4,0,1,0,0,0
22,4,0,1,0,0,0
23,4,0,1,0,0,0
0,4,0,1,0,0,0
1,4,0,1,0,0,0
2,4,0,1,0,0,0
3,4,0,1,0,0,0
4,4,0,1,0,0,0
5,4,0,1,0,0,0
6,15,0,1,0,0,0
7,19,0,1,0,0,0
8,32,0,1,0,0,0
9,32,0,1,0,0,0
10,32,0,1,0,0,0
11,32,0,1,0,0,0
12,32,0,1,0,0,0
13,32,0,1,0,0,0
14,32,0,1,0,0,0
15,32,0,1,0,0,0
16,23,0,1,0,0,0
17,19,0,1,0,0,0
18,2,0,1,0,0,0
19,1,0,1,0,0,0
20,1,0,1,0,0,0
21,1,0,1,0,0,0
22,1,0,1,0,0,0
23,1,0,1,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
2,1,1,0,0,0,0
3,1,1,0,0,0,0
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,13,1,0,0,0,0
7,17,1,0,0,0,0
8,81,1,0,0,0,0
9,91,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,98,1,0,0,0,0
14,100,1,0,0,0,0
15,100,1,0,0,0,0
16,98,1,0,0,0,0
17,87,1,0,0,0,0
18,53,1,0,0,0,0
19,16,1,0,0,0,0
20,11,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,7,1,0,0,0,0
6,14,1,0,0,0,0
7,19,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,91,1,0,0,0,0
18,74,1,0,0,0,0
19,11,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,11,1,0,0,0,0
7,19,1,0,0,0,0
8,91,1,0,0,0,0
9,92,1,0,0,0,0
10,96,1,0,0,0,0
11,99,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,99,1,0,0,0,0
16,99,1,0,0,0,0
17,87,1,0,0,0,0
18,74,1,0,0,0,0
19,8,1,0,0,0,0
20,6,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,11,1,0,0,0,0
7,17,1,0,0,0,0
8,92,1,0,0,0,0
9,97,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,97,1,0,0,0,0
15,96,1,0,0,0,0
16,95,1,0,0,0,0
17,70,1,0,0,0,0
18,60,1,0,0,0,0
19,45,1,0,0,0,0
20,11,1,0,0,0,0
21,6,1,0,0,0,0
22,6,1,0,0,0,0
23,6,1,0,0,0,0
0,6,1,0,0,0,0
1,6,1,0,0,0,0
2,6,1,0,0,0,0
3,6,1,0,0,0,0
4,6,1,0,0,0,0
5,6,1,0,0,0,0
6,20,1,0,0,0,0
7,74,1,0,0,0,0
8,94,1,0,0,0,0
9,95,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,98,1,0,0,0,0
15,98,1,0,0,0,0
16,96,1,0,0,0,0
17,66,1,0,0,0,0
18,53,1,0,0,0,0
19,13,1,0,0,0,0
20,5,1,0,0,0,0
21,5,1,0,0,0,0
22,5,1,0,0,0,0
23,5,1,0,0,0,0
0,5,0,1,0,0,0
1,5,0,1,0,0,0
2,5,0,1,0,0,0
3,5,0,1,0,0,0
4,5,0,1,0,0,0
5,5,0,1,0,0,0
6,11,0,1,0,0,0
7,19,0,1,0,0,0
8,79,0,1,0,0,0
9,81,0,1,0,0,0
10,82,0,1,0,0,0
11,81,0,1,0,0,0
12,85,0,1,0,0,0
13,85,0,1,0,0,0
14,85,0,1,0,0,0
15,85,0,1,0,0,0
16,85,0,1,0,0,0
17,53,0,1,0,0,0
18,38,0,1,0,0,0
19,11,0,1,0,0,0
20,5,0,1,0,0,0
21,5,0,1,0,0,0
22,5,0,1,0,0,0
23,5,0,1,0,0,0
0,5,0,1,0,0,0
1,5,0,1,0,0,0
2,5,0,1,0,0,0
3,5,0,1,0,0,0
4,5,0,1,0,0,0
5,5,0,1,0,0,0
6,11,0,1,0,0,0
7,19,0,1,0,0,0
8,53,0,1,0,0,0
9,54,0,1,0,0,0
10,54,0,1,0,0,0
11,56,0,1,0,0,0
12,56,0,1,0,0,0
13,57,0,1,0,0,0
14,53,0,1,0,0,0
15,35,0,1,0,0,0
16,32,0,1,0,0,0
17,31,0,1,0,0,0
18,19,0,1,0,0,0
19,0,0,1,0,0,0
20,0,0,1,0,0,0
21,0,0,1,0,0,0
22,0,0,1,0,0,0
23,0,0,1,0,0,0
0,0,1,0,0,0,0
1,0,1,0,0,0,0
2,0,1,0,0,0,0
3,0,1,0,0,0,0
4,0,1,0,0,0,0
5,0,1,0,0,0,0
6,0,1,0,0,0,0
7,11,1,0,0,0,0
8,79,1,0,0,0,0
9,87,1,0,0,0,0
10,96,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,97,1,0,0,0,0
16,96,1,0,0,0,0
17,70,1,0,0,0,0
18,56,1,0,0,0,0
19,45,1,0,0,0,0
20,11,1,0,0,0,0
21,5,1,0,0,0,0
22,5,1,0,0,0,0
23,5,1,0,0,0,0
0,5,1,0,0,0,0
1,5,1,0,0,0,0
2,5,1,0,0,0,0
3,5,1,0,0,0,0
4,5,1,0,0,0,0
5,5,1,0,0,0,0
6,19,1,0,0,0,0
7,66,1,0,0,0,0
8,87,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,99,1,0,0,0,0
15,99,1,0,0,0,0
16,98,1,0,0,0,0
17,83,1,0,0,0,0
18,74,1,0,0,0,0
19,49,1,0,0,0,0
20,9,1,0,0,0,0
21,4,1,0,0,0,0
22,4,1,0,0,0,0
23,4,1,0,0,0,0
0,4,1,0,0,0,0
1,4,1,0,0,0,0
2,4,1,0,0,0,0
3,4,1,0,0,0,0
4,4,1,0,0,0,0
5,4,1,0,0,0,0
6,23,1,0,0,0,0
7,53,1,0,0,0,0
8,91,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,98,1,0,0,0,0
15,97,1,0,0,0,0
16,94,1,0,0,0,0
17,74,1,0,0,0,0
18,53,1,0,0,0,0
19,51,1,0,0,0,0
20,7,1,0,0,0,0
21,7,1,0,0,0,0
22,7,1,0,0,0,0
23,7,1,0,0,0,0
0,7,1,0,0,0,0
1,7,1,0,0,0,0
2,7,1,0,0,0,0
3,7,1,0,0,0,0
4,7,1,0,0,0,0
5,7,1,0,0,0,0
6,23,1,0,0,0,0
7,45,1,0,0,0,0
8,70,1,0,0,0,0
9,92,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,99,1,0,0,0,0
16,97,1,0,0,0,0
17,74,1,0,0,0,0
18,66,1,0,0,0,0
19,51,1,0,0,0,0
20,4,1,0,0,0,0
21,3,1,0,0,0,0
22,3,1,0,0,0,0
23,3,1,0,0,0,0
0,3,1,0,0,0,0
1,3,1,0,0,0,0
2,3,1,0,0,0,0
3,3,1,0,0,0,0
4,3,1,0,0,0,0
5,3,1,0,0,0,0
6,53,1,0,0,0,0
7,66,1,0,0,0,0
8,94,1,0,0,0,0
9,96,1,0,0,0,0
10,100,1,0,0,0,0
11,100,1,0,0,0,0
12,100,1,0,0,0,0
13,100,1,0,0,0,0
14,100,1,0,0,0,0
15,97,1,0,0,0,0
16,94,1,0,0,0,0
17,70,1,0,0,0,0
18,53,1,0,0,0,0
19,36,1,0,0,0,0
20,6,1,0,0,0,0
21,3,1,0,0,0,0
22,3,1,0,0,0,0
23,3,1,0,0,0,0
0,3,0,1,0,0,0
1,3,0,1,0,0,0
2,3,0,1,0,0,0
3,3,0,1,0,0,0
4,3,0,1,0,0,0
5,3,0,1,0,0,0
6,19,0,1,0,0,0
7,53,0,1,0,0,0
8,74,0,1,0,0,0
9,79,0,1,0,0,0
10,79,0,1,0,0,0
11,77,0,1,0,0,0
12,77,0,1,0,0,0
13,74,0,1,0,0,0
14,72,0,1,0,0,0
15,72,0,1,0,0,0
16,70,0,1,0,0,0
17,62,0,1,0,0,0
18,53,0,1,0,0,0
19,40,0,1,0,0,0
20,5,0,1,0,0,0
21,5,0,1,0,0,0
22,5,0,1,0,0,0
23,5,0,1,0,0,0
0,5,0,1,0,0,0
1,5,0,1,0,0,0
2,5,0,1,0,0,0
